user_id,assigned_perk,life_total_trips,assignment_reason
328590,Free Hotel Meals,4,tier3_high_hotel_discount
330764,Premium Travel Benefits,4,tier3_high_value_loyal
330893,Premium Travel Benefits,3,tier3_high_value_loyal
331039,No Change Fees,1,tier_1_single_trip_high_cancel
334787,Premium Travel Benefits,5,tier3_high_value_loyal
337227,Exclusive Discounts,1,tier_1_single_trip_default
338086,Free Hotel Meals,4,tier3_high_hotel_discount
340166,Exclusive Discounts,1,tier_1_single_trip_default
343928,Free Checked Bags,4,tier3_near_exclusive_intl
347778,Premium Travel Benefits,9,tier3_high_value_loyal
348817,Premium Travel Benefits,6,tier3_high_value_loyal
348863,Exclusive Discounts,0,tier_0_never_booked
349132,Premium Travel Benefits,5,tier3_high_value_loyal
350648,No Change Fees,1,tier_1_single_trip_high_cancel
353271,Exclusive Discounts,2,tier_2_two_trip_default
353694,Premium Travel Benefits,3,tier3_high_value_loyal
354050,Premium Travel Benefits,6,tier3_high_value_loyal
354260,Premium Travel Benefits,3,tier3_high_value_loyal
354311,Exclusive Discounts,2,tier_2_two_trip_default
354950,Free Checked Bags,2,tier_2_two_trip_exclusive_intl
356046,Premium Travel Benefits,4,tier3_high_value_loyal
357737,Free Hotel Meals,7,tier3_high_hotel_discount
359072,Premium Travel Benefits,4,tier3_high_value_loyal
359080,Premium Travel Benefits,7,tier3_high_value_loyal
359653,Free Checked Bags,5,tier3_near_exclusive_intl
361459,Exclusive Discounts,1,tier_1_single_trip_default
361759,Free Checked Bags,5,tier3_near_exclusive_intl
363535,No Change Fees,3,tier3_high_cancel_spend
365825,No Change Fees,3,tier3_high_cancel_spend
371201,Exclusive Discounts,2,tier_2_two_trip_default
372970,Premium Travel Benefits,3,tier3_high_value_loyal
373489,Free Checked Bags,3,tier3_near_exclusive_intl
374331,Exclusive Discounts,2,tier_2_two_trip_default
374340,Free Checked Bags,2,tier_2_two_trip_exclusive_intl
374341,Premium Travel Benefits,4,tier3_high_value_loyal
375160,Exclusive Discounts,1,tier_1_single_trip_default
375729,Exclusive Discounts,5,tier3_high_flight_discount
375751,Premium Travel Benefits,3,tier3_high_value_loyal
376159,Premium Travel Benefits,3,tier3_high_value_loyal
377069,Exclusive Discounts,0,tier_0_never_booked
377411,Free Checked Bags,3,tier3_near_exclusive_intl
378565,Exclusive Discounts,7,tier3_high_flight_discount
379543,Premium Travel Benefits,5,tier3_high_value_loyal
380434,Premium Travel Benefits,5,tier3_high_value_loyal
380436,Free Checked Bags,3,tier3_near_exclusive_intl
380757,Premium Travel Benefits,5,tier3_high_value_loyal
380874,Free Hotel Meals,5,tier3_high_hotel_discount
380949,Premium Travel Benefits,5,tier3_high_value_loyal
381259,Exclusive Discounts,2,tier_2_two_trip_default
381465,Premium Travel Benefits,4,tier3_high_value_loyal
382181,Premium Travel Benefits,5,tier3_high_value_loyal
382384,Exclusive Discounts,2,tier_2_two_trip_default
382533,Exclusive Discounts,0,tier_0_never_booked
385689,Premium Travel Benefits,5,tier3_high_value_loyal
386255,Exclusive Discounts,2,tier_2_two_trip_default
386469,Exclusive Discounts,1,tier_1_single_trip_default
386914,No Change Fees,2,tier_2_two_trip_high_cancel
387282,Exclusive Discounts,2,tier_2_two_trip_default
387783,Premium Travel Benefits,4,tier3_high_value_loyal
388328,Free Checked Bags,6,tier3_near_exclusive_intl
388767,Premium Travel Benefits,3,tier3_high_value_loyal
388947,Premium Travel Benefits,4,tier3_high_value_loyal
389434,Premium Travel Benefits,6,tier3_high_value_loyal
389662,Exclusive Discounts,5,tier3_high_flight_discount
389759,Premium Travel Benefits,4,tier3_high_value_loyal
390811,Premium Travel Benefits,6,tier3_high_value_loyal
392453,Free Checked Bags,2,tier_2_two_trip_exclusive_intl
395202,Exclusive Discounts,2,tier_2_two_trip_default
395981,Free Checked Bags,4,tier3_near_exclusive_intl
396552,Free Checked Bags,5,tier3_near_exclusive_intl
399137,Premium Travel Benefits,5,tier3_high_value_loyal
399218,Premium Travel Benefits,3,tier3_high_value_loyal
399799,Free Checked Bags,7,tier3_near_exclusive_intl
400275,Exclusive Discounts,2,tier_2_two_trip_default
400582,Premium Travel Benefits,6,tier3_high_value_loyal
400899,Premium Travel Benefits,5,tier3_high_value_loyal
401245,Premium Travel Benefits,4,tier3_high_value_loyal
402332,Premium Travel Benefits,3,tier3_high_value_loyal
402978,Premium Travel Benefits,5,tier3_high_value_loyal
403881,Premium Travel Benefits,7,tier3_high_value_loyal
404879,Premium Travel Benefits,6,tier3_high_value_loyal
405305,Premium Travel Benefits,5,tier3_high_value_loyal
406210,Premium Travel Benefits,3,tier3_high_value_loyal
407118,No Change Fees,4,tier3_high_cancel_spend
407250,Premium Travel Benefits,6,tier3_high_value_loyal
407275,Premium Travel Benefits,6,tier3_high_value_loyal
407434,Premium Travel Benefits,3,tier3_high_value_loyal
407642,Premium Travel Benefits,3,tier3_high_value_loyal
408551,Premium Travel Benefits,3,tier3_high_value_loyal
409073,Premium Travel Benefits,4,tier3_high_value_loyal
411179,Exclusive Discounts,3,tier3_high_flight_discount
411701,Free Checked Bags,5,tier3_near_exclusive_intl
413128,Exclusive Discounts,6,tier3_high_flight_discount
413340,Premium Travel Benefits,5,tier3_high_value_loyal
413418,Premium Travel Benefits,5,tier3_high_value_loyal
413658,No Change Fees,4,tier3_high_cancel_spend
414128,Premium Travel Benefits,6,tier3_high_value_loyal
415282,Premium Travel Benefits,4,tier3_high_value_loyal
415381,Premium Travel Benefits,3,tier3_high_value_loyal
415581,Premium Travel Benefits,4,tier3_high_value_loyal
416319,Premium Travel Benefits,3,tier3_high_value_loyal
416580,Premium Travel Benefits,6,tier3_high_value_loyal
417679,Free Hotel Meals,7,tier3_high_hotel_discount
418329,Exclusive Discounts,4,tier3_high_flight_discount
418488,Free Checked Bags,5,tier3_near_exclusive_intl
418692,No Change Fees,4,tier3_high_cancel_spend
420648,Exclusive Discounts,5,tier3_high_flight_discount
420669,No Change Fees,3,tier3_high_cancel_spend
421247,Free Hotel Meals,6,tier3_high_hotel_discount
421515,Free Hotel Meals,3,tier3_high_hotel_discount
421666,No Change Fees,2,tier_2_two_trip_high_cancel
421700,Premium Travel Benefits,3,tier3_high_value_loyal
421870,Free Checked Bags,5,tier3_near_exclusive_intl
422066,Premium Travel Benefits,5,tier3_high_value_loyal
422668,Exclusive Discounts,0,tier_0_never_booked
423042,Free Checked Bags,7,tier3_near_exclusive_intl
423413,Exclusive Discounts,1,tier_1_single_trip_default
424553,Premium Travel Benefits,4,tier3_high_value_loyal
425632,Premium Travel Benefits,4,tier3_high_value_loyal
425653,Exclusive Discounts,1,tier_1_single_trip_default
425953,Premium Travel Benefits,6,tier3_high_value_loyal
425966,Free Checked Bags,3,tier3_near_exclusive_intl
426478,No Change Fees,2,tier_2_two_trip_high_cancel
427426,Premium Travel Benefits,4,tier3_high_value_loyal
427506,No Change Fees,3,tier3_high_cancel_spend
428056,Premium Travel Benefits,5,tier3_high_value_loyal
428552,Exclusive Discounts,4,tier3_high_flight_discount
428858,No Change Fees,2,tier_2_two_trip_high_cancel
429345,Exclusive Discounts,1,tier_1_single_trip_default
429375,No Change Fees,3,tier3_high_cancel_spend
430722,No Change Fees,2,tier_2_two_trip_high_cancel
431144,Free Hotel Meals,3,tier3_high_hotel_discount
431337,Premium Travel Benefits,5,tier3_high_value_loyal
431602,Premium Travel Benefits,4,tier3_high_value_loyal
431746,Free Checked Bags,2,tier_2_two_trip_exclusive_intl
431899,No Change Fees,2,tier_2_two_trip_high_cancel
431912,Exclusive Discounts,2,tier_2_two_trip_default
432333,Free Hotel Meals,3,tier3_high_hotel_discount
432637,Premium Travel Benefits,5,tier3_high_value_loyal
432941,Premium Travel Benefits,5,tier3_high_value_loyal
433080,Free Hotel Meals,5,tier3_high_hotel_discount
433339,Free Checked Bags,3,tier3_near_exclusive_intl
433905,Exclusive Discounts,2,tier_2_two_trip_default
434238,Premium Travel Benefits,3,tier3_high_value_loyal
434623,Premium Travel Benefits,4,tier3_high_value_loyal
435231,Free Checked Bags,4,tier3_near_exclusive_intl
435596,Premium Travel Benefits,4,tier3_high_value_loyal
435669,Free Hotel Meals,3,tier3_high_hotel_discount
435837,Premium Travel Benefits,3,tier3_high_value_loyal
435882,Premium Travel Benefits,3,tier3_high_value_loyal
436320,Premium Travel Benefits,3,tier3_high_value_loyal
436894,Premium Travel Benefits,3,tier3_high_value_loyal
437069,Premium Travel Benefits,7,tier3_high_value_loyal
437162,Free Checked Bags,2,tier_2_two_trip_exclusive_intl
437251,Free Checked Bags,4,tier3_near_exclusive_intl
437539,Premium Travel Benefits,7,tier3_high_value_loyal
437549,Premium Travel Benefits,5,tier3_high_value_loyal
438189,Premium Travel Benefits,7,tier3_high_value_loyal
438406,Premium Travel Benefits,4,tier3_high_value_loyal
438551,No Change Fees,3,tier3_high_cancel_spend
438596,Exclusive Discounts,2,tier_2_two_trip_default
438839,Premium Travel Benefits,5,tier3_high_value_loyal
438937,Free Hotel Meals,3,tier3_high_hotel_discount
438985,No Change Fees,3,tier3_high_cancel_spend
438995,Exclusive Discounts,1,tier_1_single_trip_default
439052,Premium Travel Benefits,5,tier3_high_value_loyal
439120,Exclusive Discounts,2,tier_2_two_trip_default
439363,Premium Travel Benefits,6,tier3_high_value_loyal
440212,Free Checked Bags,3,tier3_near_exclusive_intl
440655,Free Checked Bags,5,tier3_near_exclusive_intl
441200,Free Checked Bags,4,tier3_near_exclusive_intl
441205,Premium Travel Benefits,4,tier3_high_value_loyal
441448,Free Checked Bags,2,tier_2_two_trip_exclusive_intl
441457,Exclusive Discounts,5,tier3_high_flight_discount
441982,Premium Travel Benefits,5,tier3_high_value_loyal
442484,Premium Travel Benefits,5,tier3_high_value_loyal
442718,Free Hotel Meals,5,tier3_high_hotel_discount
442812,Premium Travel Benefits,3,tier3_high_value_loyal
442819,Free Checked Bags,2,tier_2_two_trip_exclusive_intl
442833,Free Checked Bags,6,tier3_near_exclusive_intl
443305,Exclusive Discounts,2,tier_2_two_trip_default
443453,Premium Travel Benefits,5,tier3_high_value_loyal
443598,Premium Travel Benefits,3,tier3_high_value_loyal
443652,Premium Travel Benefits,6,tier3_high_value_loyal
444387,Premium Travel Benefits,5,tier3_high_value_loyal
444885,Exclusive Discounts,2,tier_2_two_trip_default
445351,Premium Travel Benefits,6,tier3_high_value_loyal
445515,Free Checked Bags,3,tier3_near_exclusive_intl
446124,Premium Travel Benefits,6,tier3_high_value_loyal
446138,Free Checked Bags,3,tier3_near_exclusive_intl
446473,Free Hotel Meals,5,tier3_high_hotel_discount
446933,Free Checked Bags,5,tier3_near_exclusive_intl
447053,Premium Travel Benefits,3,tier3_high_value_loyal
447591,Free Checked Bags,2,tier_2_two_trip_exclusive_intl
447737,Free Checked Bags,4,tier3_near_exclusive_intl
447951,Premium Travel Benefits,4,tier3_high_value_loyal
448025,Free Checked Bags,2,tier_2_two_trip_exclusive_intl
448154,Premium Travel Benefits,4,tier3_high_value_loyal
448295,Premium Travel Benefits,4,tier3_high_value_loyal
448467,Free Hotel Meals,3,tier3_high_hotel_discount
448564,Premium Travel Benefits,6,tier3_high_value_loyal
449033,Premium Travel Benefits,5,tier3_high_value_loyal
449326,Premium Travel Benefits,3,tier3_high_value_loyal
449619,Premium Travel Benefits,3,tier3_high_value_loyal
449804,Premium Travel Benefits,3,tier3_high_value_loyal
449980,No Change Fees,1,tier_1_single_trip_high_cancel
450164,Premium Travel Benefits,5,tier3_high_value_loyal
450193,Free Checked Bags,3,tier3_near_exclusive_intl
450305,Exclusive Discounts,5,tier3_high_flight_discount
450615,Premium Travel Benefits,5,tier3_high_value_loyal
451291,Premium Travel Benefits,5,tier3_high_value_loyal
451674,Exclusive Discounts,0,tier_0_never_booked
452034,No Change Fees,2,tier_2_two_trip_high_cancel
452532,No Change Fees,2,tier_2_two_trip_high_cancel
452594,Premium Travel Benefits,4,tier3_high_value_loyal
452612,No Change Fees,2,tier_2_two_trip_high_cancel
453143,Premium Travel Benefits,6,tier3_high_value_loyal
453168,Premium Travel Benefits,6,tier3_high_value_loyal
454264,Exclusive Discounts,2,tier_2_two_trip_default
454430,Free Checked Bags,5,tier3_near_exclusive_intl
454616,Exclusive Discounts,2,tier_2_two_trip_default
454661,Premium Travel Benefits,5,tier3_high_value_loyal
454920,Premium Travel Benefits,7,tier3_high_value_loyal
454934,Premium Travel Benefits,3,tier3_high_value_loyal
454955,Free Checked Bags,2,tier_2_two_trip_exclusive_intl
456226,Premium Travel Benefits,7,tier3_high_value_loyal
456318,Premium Travel Benefits,3,tier3_high_value_loyal
456663,Exclusive Discounts,4,tier3_high_flight_discount
456671,Free Checked Bags,2,tier_2_two_trip_exclusive_intl
457468,Exclusive Discounts,5,tier3_high_flight_discount
457599,Premium Travel Benefits,6,tier3_high_value_loyal
457967,Exclusive Discounts,0,tier_0_never_booked
458479,Free Checked Bags,3,tier3_near_exclusive_intl
458688,Exclusive Discounts,4,tier3_high_flight_discount
458725,Exclusive Discounts,1,tier_1_single_trip_default
458762,Premium Travel Benefits,6,tier3_high_value_loyal
458814,Exclusive Discounts,5,tier3_high_flight_discount
458855,Free Hotel Meals,3,tier3_high_hotel_discount
458919,Premium Travel Benefits,3,tier3_high_value_loyal
459229,Exclusive Discounts,5,tier3_high_flight_discount
459486,Premium Travel Benefits,3,tier3_high_value_loyal
459645,Free Checked Bags,2,tier_2_two_trip_exclusive_intl
460072,Free Hotel Meals,3,tier3_high_hotel_discount
460181,Exclusive Discounts,3,tier3_high_flight_discount
460553,Premium Travel Benefits,4,tier3_high_value_loyal
460625,Premium Travel Benefits,5,tier3_high_value_loyal
461559,Free Checked Bags,5,tier3_near_exclusive_intl
461744,Exclusive Discounts,2,tier_2_two_trip_default
461791,Premium Travel Benefits,4,tier3_high_value_loyal
462127,Premium Travel Benefits,4,tier3_high_value_loyal
462456,Premium Travel Benefits,6,tier3_high_value_loyal
462894,Premium Travel Benefits,3,tier3_high_value_loyal
463652,Free Checked Bags,2,tier_2_two_trip_exclusive_intl
463698,Premium Travel Benefits,4,tier3_high_value_loyal
463783,Premium Travel Benefits,5,tier3_high_value_loyal
463867,Premium Travel Benefits,3,tier3_high_value_loyal
463910,Premium Travel Benefits,5,tier3_high_value_loyal
464080,Free Checked Bags,2,tier_2_two_trip_exclusive_intl
464160,Exclusive Discounts,3,tier3_high_flight_discount
464239,Premium Travel Benefits,5,tier3_high_value_loyal
464542,Free Checked Bags,2,tier_2_two_trip_exclusive_intl
464597,Exclusive Discounts,1,tier_1_single_trip_default
464614,Premium Travel Benefits,4,tier3_high_value_loyal
464673,Premium Travel Benefits,5,tier3_high_value_loyal
464782,Premium Travel Benefits,4,tier3_high_value_loyal
464855,No Change Fees,1,tier_1_single_trip_high_cancel
465138,Premium Travel Benefits,5,tier3_high_value_loyal
465343,Exclusive Discounts,3,tier3_high_flight_discount
465531,Premium Travel Benefits,3,tier3_high_value_loyal
465568,Exclusive Discounts,2,tier_2_two_trip_default
465731,Premium Travel Benefits,3,tier3_high_value_loyal
466205,Premium Travel Benefits,5,tier3_high_value_loyal
466342,Free Hotel Meals,3,tier3_high_hotel_discount
466723,Exclusive Discounts,3,tier3_high_flight_discount
467007,Premium Travel Benefits,5,tier3_high_value_loyal
467092,No Change Fees,1,tier_1_single_trip_high_cancel
467339,Premium Travel Benefits,4,tier3_high_value_loyal
467809,Free Hotel Meals,3,tier3_high_hotel_discount
467892,No Change Fees,4,tier3_high_cancel_spend
468106,Free Hotel Meals,5,tier3_high_hotel_discount
468370,Premium Travel Benefits,4,tier3_high_value_loyal
468409,Free Checked Bags,5,tier3_near_exclusive_intl
468666,Premium Travel Benefits,4,tier3_high_value_loyal
468801,Exclusive Discounts,4,tier3_high_flight_discount
468808,Premium Travel Benefits,5,tier3_high_value_loyal
468832,Premium Travel Benefits,6,tier3_high_value_loyal
469237,Exclusive Discounts,2,tier_2_two_trip_default
469418,Exclusive Discounts,1,tier_1_single_trip_default
469440,Premium Travel Benefits,4,tier3_high_value_loyal
469464,Premium Travel Benefits,5,tier3_high_value_loyal
469699,Premium Travel Benefits,3,tier3_high_value_loyal
469767,Premium Travel Benefits,5,tier3_high_value_loyal
469824,Premium Travel Benefits,3,tier3_high_value_loyal
471077,Premium Travel Benefits,7,tier3_high_value_loyal
471161,Premium Travel Benefits,3,tier3_high_value_loyal
471186,Exclusive Discounts,2,tier_2_two_trip_default
471500,Premium Travel Benefits,4,tier3_high_value_loyal
471565,Exclusive Discounts,2,tier_2_two_trip_default
471649,Exclusive Discounts,2,tier_2_two_trip_default
471687,Premium Travel Benefits,5,tier3_high_value_loyal
471717,Premium Travel Benefits,4,tier3_high_value_loyal
471935,Premium Travel Benefits,4,tier3_high_value_loyal
471946,Exclusive Discounts,1,tier_1_single_trip_default
471973,Exclusive Discounts,1,tier_1_single_trip_default
472394,Premium Travel Benefits,3,tier3_high_value_loyal
472446,Free Checked Bags,3,tier3_near_exclusive_intl
472614,Free Checked Bags,3,tier3_near_exclusive_intl
472713,Premium Travel Benefits,5,tier3_high_value_loyal
472785,Free Checked Bags,4,tier3_near_exclusive_intl
472966,Premium Travel Benefits,3,tier3_high_value_loyal
473332,Free Hotel Meals,4,tier3_high_hotel_discount
473343,Premium Travel Benefits,4,tier3_high_value_loyal
473402,Premium Travel Benefits,3,tier3_high_value_loyal
473467,Premium Travel Benefits,5,tier3_high_value_loyal
473568,Exclusive Discounts,2,tier_2_two_trip_default
473712,Premium Travel Benefits,7,tier3_high_value_loyal
473847,Exclusive Discounts,2,tier_2_two_trip_default
474007,Exclusive Discounts,2,tier_2_two_trip_default
474120,Free Checked Bags,4,tier3_near_exclusive_intl
474239,Exclusive Discounts,0,tier_0_never_booked
474261,Premium Travel Benefits,4,tier3_high_value_loyal
474278,Exclusive Discounts,1,tier_1_single_trip_default
474384,Premium Travel Benefits,5,tier3_high_value_loyal
474464,Premium Travel Benefits,4,tier3_high_value_loyal
474546,Free Hotel Meals,5,tier3_high_hotel_discount
474951,Premium Travel Benefits,6,tier3_high_value_loyal
474980,Free Checked Bags,4,tier3_near_exclusive_intl
475060,Exclusive Discounts,2,tier_2_two_trip_default
475130,Premium Travel Benefits,7,tier3_high_value_loyal
475467,Premium Travel Benefits,3,tier3_high_value_loyal
475531,Premium Travel Benefits,5,tier3_high_value_loyal
476081,Premium Travel Benefits,5,tier3_high_value_loyal
476104,Premium Travel Benefits,7,tier3_high_value_loyal
476124,Premium Travel Benefits,4,tier3_high_value_loyal
476173,Exclusive Discounts,1,tier_1_single_trip_default
476270,Free Checked Bags,4,tier3_near_exclusive_intl
476393,Free Checked Bags,3,tier3_near_exclusive_intl
476436,Premium Travel Benefits,5,tier3_high_value_loyal
476535,Premium Travel Benefits,5,tier3_high_value_loyal
476665,Premium Travel Benefits,8,tier3_high_value_loyal
476693,Premium Travel Benefits,5,tier3_high_value_loyal
476714,Premium Travel Benefits,4,tier3_high_value_loyal
476742,Free Hotel Meals,3,tier3_high_hotel_discount
476916,Exclusive Discounts,0,tier_0_never_booked
476956,Premium Travel Benefits,3,tier3_high_value_loyal
477285,Free Checked Bags,3,tier3_near_exclusive_intl
477316,Premium Travel Benefits,5,tier3_high_value_loyal
477597,Free Checked Bags,3,tier3_near_exclusive_intl
477730,Premium Travel Benefits,5,tier3_high_value_loyal
477805,Exclusive Discounts,1,tier_1_single_trip_default
478003,Premium Travel Benefits,4,tier3_high_value_loyal
478146,No Change Fees,2,tier_2_two_trip_high_cancel
478188,Premium Travel Benefits,4,tier3_high_value_loyal
478228,Free Checked Bags,3,tier3_near_exclusive_intl
478291,Premium Travel Benefits,3,tier3_high_value_loyal
478533,Exclusive Discounts,2,tier_2_two_trip_default
478585,Premium Travel Benefits,6,tier3_high_value_loyal
478760,No Change Fees,3,tier3_high_cancel_spend
478801,Premium Travel Benefits,4,tier3_high_value_loyal
478834,Exclusive Discounts,1,tier_1_single_trip_default
479071,Premium Travel Benefits,6,tier3_high_value_loyal
479078,Exclusive Discounts,1,tier_1_single_trip_default
479101,Free Checked Bags,2,tier_2_two_trip_exclusive_intl
479254,Premium Travel Benefits,4,tier3_high_value_loyal
479524,No Change Fees,1,tier_1_single_trip_high_cancel
479785,Exclusive Discounts,0,tier_0_never_booked
480186,Exclusive Discounts,1,tier_1_single_trip_default
480313,No Change Fees,3,tier3_high_cancel_spend
480331,Premium Travel Benefits,4,tier3_high_value_loyal
480690,Premium Travel Benefits,6,tier3_high_value_loyal
480796,Premium Travel Benefits,4,tier3_high_value_loyal
480877,Premium Travel Benefits,5,tier3_high_value_loyal
480895,No Change Fees,3,tier3_high_cancel_spend
480975,Exclusive Discounts,1,tier_1_single_trip_default
481050,Premium Travel Benefits,3,tier3_high_value_loyal
481245,Exclusive Discounts,3,tier3_high_flight_discount
481292,Premium Travel Benefits,5,tier3_high_value_loyal
481358,Exclusive Discounts,2,tier_2_two_trip_default
481554,Premium Travel Benefits,6,tier3_high_value_loyal
481622,Free Checked Bags,5,tier3_near_exclusive_intl
481772,Exclusive Discounts,4,tier3_high_flight_discount
481781,Exclusive Discounts,1,tier_1_single_trip_default
482264,Premium Travel Benefits,5,tier3_high_value_loyal
482335,Exclusive Discounts,2,tier_2_two_trip_default
482424,Premium Travel Benefits,5,tier3_high_value_loyal
482548,No Change Fees,3,tier3_high_cancel_spend
482602,Premium Travel Benefits,5,tier3_high_value_loyal
482621,Premium Travel Benefits,3,tier3_high_value_loyal
482630,Premium Travel Benefits,3,tier3_high_value_loyal
482744,Premium Travel Benefits,5,tier3_high_value_loyal
482811,Exclusive Discounts,0,tier_0_never_booked
483224,Premium Travel Benefits,4,tier3_high_value_loyal
483237,Premium Travel Benefits,5,tier3_high_value_loyal
483345,Premium Travel Benefits,6,tier3_high_value_loyal
483480,Premium Travel Benefits,6,tier3_high_value_loyal
483483,Exclusive Discounts,2,tier_2_two_trip_default
483525,Free Checked Bags,2,tier_2_two_trip_exclusive_intl
483603,Premium Travel Benefits,5,tier3_high_value_loyal
483928,Premium Travel Benefits,6,tier3_high_value_loyal
483982,Premium Travel Benefits,3,tier3_high_value_loyal
484249,Premium Travel Benefits,4,tier3_high_value_loyal
484342,Exclusive Discounts,0,tier_0_never_booked
484418,Premium Travel Benefits,3,tier3_high_value_loyal
484987,Premium Travel Benefits,4,tier3_high_value_loyal
485149,Premium Travel Benefits,4,tier3_high_value_loyal
485260,Free Checked Bags,3,tier3_near_exclusive_intl
485393,Exclusive Discounts,0,tier_0_never_booked
485505,Exclusive Discounts,2,tier_2_two_trip_default
485518,Exclusive Discounts,1,tier_1_single_trip_default
485536,Exclusive Discounts,0,tier_0_never_booked
485544,Premium Travel Benefits,9,tier3_high_value_loyal
485591,Free Hotel Meals,5,tier3_high_hotel_discount
485658,No Change Fees,3,tier3_high_cancel_spend
485780,Premium Travel Benefits,4,tier3_high_value_loyal
485785,Premium Travel Benefits,3,tier3_high_value_loyal
485891,No Change Fees,2,tier_2_two_trip_high_cancel
485894,Free Checked Bags,4,tier3_near_exclusive_intl
486046,Exclusive Discounts,1,tier_1_single_trip_default
486113,Exclusive Discounts,2,tier_2_two_trip_default
486191,Exclusive Discounts,1,tier_1_single_trip_default
486261,Exclusive Discounts,3,tier3_high_flight_discount
486268,Exclusive Discounts,0,tier_0_never_booked
486270,Free Checked Bags,4,tier3_near_exclusive_intl
486366,Premium Travel Benefits,4,tier3_high_value_loyal
486447,Exclusive Discounts,0,tier_0_never_booked
486454,Premium Travel Benefits,3,tier3_high_value_loyal
486605,Exclusive Discounts,2,tier_2_two_trip_default
486671,Premium Travel Benefits,5,tier3_high_value_loyal
486751,Free Hotel Meals,4,tier3_high_hotel_discount
486823,Free Checked Bags,4,tier3_near_exclusive_intl
487002,Exclusive Discounts,1,tier_1_single_trip_default
487036,Exclusive Discounts,1,tier_1_single_trip_default
487040,Premium Travel Benefits,4,tier3_high_value_loyal
487101,Premium Travel Benefits,5,tier3_high_value_loyal
487276,Premium Travel Benefits,5,tier3_high_value_loyal
487352,Exclusive Discounts,2,tier_2_two_trip_default
487453,Free Hotel Meals,6,tier3_high_hotel_discount
487637,Free Checked Bags,3,tier3_near_exclusive_intl
487680,No Change Fees,3,tier3_high_cancel_spend
487715,Premium Travel Benefits,5,tier3_high_value_loyal
487858,Premium Travel Benefits,4,tier3_high_value_loyal
487954,Premium Travel Benefits,4,tier3_high_value_loyal
488009,Exclusive Discounts,2,tier_2_two_trip_default
488099,Exclusive Discounts,1,tier_1_single_trip_default
